date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-01 | 1
2009-01-02 | 1
2009-01-03 | 2
2010-08-19 | 10
2010-08-20 | 10
2010-08-21 | 10
2011-01-01 | 10
2011-01-02 | 10
2011-01-04 | 10
2011-01-05 | 10
2011-06-10 | 2
2011-06-11 | 2
2012-02-28 | 3
2012-02-29 | 3
2012-03-01 | 3
2013-03-06 | 2
2013-03-07 | 2
2013-12-04 | 0.5
2017-12-16 | 1
2020-03-14 | 2
2021-11-01 | 0.1
2022-03-29 | 1
2022-03-30 | 1
2025-12-31 | 1
2012-01-11 | 0
2012-01-11 | 0.0001
2012-01-11 | 999.999
2012-01-11 | 1000
2012-01-11 | -0
2012-01-11 | -0.01
2012-01-11 | +1
2012-01-11 | .5
2012-01-11 | 5.
2012-01-11 | 1e2
2012-01-11 | nan
2012-01-11 | inf
2012-01-11 | abc
2012-01-11 | 1abc
2012-01-11 | 1.2.3
2011-02-29 | 10
2012-02-29 | 10
1900-02-29 | 10
2000-02-29 | 10
2012-00-10 | 10
2012-13-10 | 10
2012-04-31 | 10
2012-1-01 | 10
2012/01/01 | 10
2009-02-28 | 12
2009-03-01 | 12
2009-03-02 | 12
2010-08-17 | 10
2010-08-18 | 10
2010-09-16 | 10
2010-09-17 | 10
2010-10-10 | 10
2010-10-11 | 10
2011-04-29 | 5
2011-04-30 | 5
2011-05-02 | 5
2011-06-07 | 2
2011-06-08 | 2
2011-10-26 | 20
2011-10-27 | 20
2012-07-19 | 3
2012-07-20 | 3
2013-04-03 | 2
2013-04-04 | 2
2013-11-28 | 0.5
2013-11-29 | 0.5
2014-01-06 | 1.5
2014-01-07 | 1.5
2015-01-13 | 4
2015-01-14 | 4
2016-06-19 | 2
2016-06-20 | 2
2017-12-16 | 0.25
2017-12-17 | 0.25
2018-02-05 | 3
2018-02-06 | 3
2019-06-28 | 0.75
2019-06-29 | 0.75
2020-12-30 | 0.1
2020-12-31 | 0.1
2021-04-15 | 0.01
2021-04-16 | 0.01
2021-10-21 | 0.5
2021-10-22 | 0.5
2022-01-03 | 1
2022-01-04 | 1
2012-02-30 | 5
2012-06-31 | 5
2012-09-31 | 5
2021-02-29 | 5
22-01-01 | 5
| 5
2012-01-01 || 5
2018-01-01 |
